id,true_label,true_is_vishing,predicted_tier,predicted_is_vishing,fused_risk,llm_final_risk,model_used,retries,fallback_triggered,latency_seconds,error,correct,authority_score,urgency_score,information_sensitivity_score,threat_score,reward_score,scarcity_score,social_proof_score
VISHING_2731,1,True,Moderate,True,0.573,0.95,gemini-3.5-flash-lite,0,False,2.157,,True,0.95,0.8,0.7,0.3,0.0,0.0,0.0
BENIGN_362,0,False,Low,False,0.0,0.0,gemini-3.5-flash-lite,0,False,1.943,,True,0.0,0.0,0.0,0.0,0.0,0.0,0.0
BENIGN_1244,0,False,Low,False,0.0,0.0,gemini-3.5-flash-lite,0,False,2.03,,True,0.0,0.0,0.0,0.0,0.0,0.0,0.0
SYNTHETIC_SYN_0232,0,False,Low,False,0.0,0.0,gemini-3.5-flash-lite,0,False,2.006,,True,0.0,0.0,0.0,0.0,0.0,0.0,0.0
BENIGN_1756,0,False,Low,False,0.0,0.0,gemini-3.5-flash-lite,0,False,1.846,,True,0.0,0.0,0.0,0.0,0.0,0.0,0.0
BENIGN_958,0,False,Low,False,0.0,0.0,gemini-3.5-flash-lite,0,False,1.877,,True,0.0,0.0,0.0,0.0,0.0,0.0,0.0
BENIGN_1120,0,False,Low,False,0.0,0.0,gemini-3.5-flash-lite,0,False,1.784,,True,0.0,0.0,0.0,0.0,0.0,0.0,0.0
BENIGN_2083,0,False,Low,False,0.0,0.0,gemini-3.5-flash-lite,0,False,1.767,,True,0.0,0.0,0.0,0.0,0.0,0.0,0.0
BENIGN_568,0,False,Low,False,0.0,0.0,gemini-3.5-flash-lite,0,False,1.746,,True,0.0,0.0,0.0,0.0,0.0,0.0,0.0
BENIGN_1332,0,False,Low,False,0.0,0.0,gemini-3.5-flash-lite,0,False,2.094,,True,0.0,0.0,0.0,0.0,0.0,0.0,0.0
BENIGN_1980,0,False,Low,False,0.0,0.0,gemini-3.5-flash-lite,0,False,1.885,,True,0.0,0.0,0.0,0.0,0.0,0.0,0.0
VISHING_2794,1,True,Low,False,0.072,0.75,gemini-3.5-flash-lite,0,False,2.562,,False,0.0,0.0,0.0,0.0,0.8,0.0,0.0
BENIGN_159,0,False,Low,False,0.0,0.0,gemini-3.5-flash-lite,0,False,2.051,,True,0.0,0.0,0.0,0.0,0.0,0.0,0.0
BENIGN_1666,0,False,Low,False,0.0,0.0,gemini-3.5-flash-lite,0,False,1.848,,True,0.0,0.0,0.0,0.0,0.0,0.0,0.0
BENIGN_99,0,False,Low,False,0.0,0.0,gemini-3.5-flash-lite,0,False,1.871,,True,0.0,0.0,0.0,0.0,0.0,0.0,0.0
BENIGN_1583,0,False,Low,False,0.0,0.0,gemini-3.5-flash-lite,0,False,1.784,,True,0.0,0.0,0.0,0.0,0.0,0.0,0.0
BENIGN_586,0,False,Low,False,0.0,0.0,gemini-3.5-flash-lite,0,False,1.938,,True,0.0,0.0,0.0,0.0,0.0,0.0,0.0
VISHING_2355,1,True,Moderate,True,0.569,0.98,gemini-3.5-flash-lite,0,False,2.15,,True,0.95,0.5,0.6,0.8,0.0,0.0,0.0
VISHING_2915,1,True,Moderate,True,0.6625,0.99,gemini-3.5-flash-lite,0,False,2.277,,True,0.95,0.7,0.8,0.85,0.0,0.0,0.0
VISHING_2795,1,True,Low,False,0.231,0.9,gemini-3.5-flash-lite,0,False,2.871,,False,0.0,0.0,0.6,0.0,0.9,0.0,0.0
