id,true_label,true_is_vishing,predicted_tier,predicted_is_vishing,fused_risk,llm_final_risk,model_used,retries,fallback_triggered,latency_seconds,error,correct,authority_score,urgency_score,information_sensitivity_score,threat_score,reward_score,scarcity_score,social_proof_score
VISHING_2731,1,True,Moderate,True,0.614,0.95,gemini-3.5-flash-lite,0,False,2.607,,True,1.0,0.8,0.7,0.5,0.0,0.0,0.0
BENIGN_362,0,False,Low,False,0.0,0.0,gemini-3.5-flash-lite,0,False,1.83,,True,0.0,0.0,0.0,0.0,0.0,0.0,0.0
BENIGN_1244,0,False,Low,False,0.0,0.0,gemini-3.5-flash-lite,0,False,2.084,,True,0.0,0.0,0.0,0.0,0.0,0.0,0.0
SYNTHETIC_SYN_0232,0,False,Low,False,0.0,0.0,gemini-3.5-flash-lite,0,False,1.892,,True,0.0,0.0,0.0,0.0,0.0,0.0,0.0
BENIGN_1756,0,False,Low,False,0.0,0.0,gemini-3.5-flash-lite,0,False,1.833,,True,0.0,0.0,0.0,0.0,0.0,0.0,0.0
BENIGN_958,0,False,Low,False,0.0,0.0,gemini-3.5-flash-lite,0,False,1.753,,True,0.0,0.0,0.0,0.0,0.0,0.0,0.0
BENIGN_1120,0,False,Low,False,0.0,0.0,gemini-3.5-flash-lite,0,False,1.816,,True,0.0,0.0,0.0,0.0,0.0,0.0,0.0
BENIGN_2083,0,False,Low,False,0.0,0.0,gemini-3.5-flash-lite,0,False,1.815,,True,0.0,0.0,0.0,0.0,0.0,0.0,0.0
BENIGN_568,0,False,Low,False,0.0,0.0,gemini-3.5-flash-lite,0,False,2.005,,True,0.0,0.0,0.0,0.0,0.0,0.0,0.0
BENIGN_1332,0,False,Low,False,0.0,0.0,gemini-3.5-flash-lite,0,False,2.126,,True,0.0,0.0,0.0,0.0,0.0,0.0,0.0
BENIGN_1980,0,False,Low,False,0.0,0.0,gemini-3.5-flash-lite,0,False,2.012,,True,0.0,0.0,0.0,0.0,0.0,0.0,0.0
VISHING_2794,1,True,Moderate,True,0.45,0.85,gemini-3.5-flash-lite,0,False,1.737,,True,0.0,0.0,0.0,0.0,0.9,0.0,0.0
BENIGN_159,0,False,Low,False,0.0,0.0,gemini-3.5-flash-lite,0,False,1.969,,True,0.0,0.0,0.0,0.0,0.0,0.0,0.0
BENIGN_1666,0,False,Low,False,0.0,0.0,gemini-3.5-flash-lite,0,False,1.882,,True,0.0,0.0,0.0,0.0,0.0,0.0,0.0
BENIGN_99,0,False,Low,False,0.0,0.0,gemini-3.5-flash-lite,0,False,1.854,,True,0.0,0.0,0.0,0.0,0.0,0.0,0.0
BENIGN_1583,0,False,Low,False,0.0,0.0,gemini-3.5-flash-lite,0,False,2.07,,True,0.0,0.0,0.0,0.0,0.0,0.0,0.0
BENIGN_586,0,False,Low,False,0.0,0.0,gemini-3.5-flash-lite,0,False,2.215,,True,0.0,0.0,0.0,0.0,0.0,0.0,0.0
VISHING_2355,1,True,Moderate,True,0.5835,0.95,gemini-3.5-flash-lite,0,False,2.282,,True,0.95,0.4,0.7,0.85,0.0,0.0,0.0
VISHING_2915,1,True,Moderate,True,0.586,0.99,gemini-3.5-flash-lite,0,False,2.428,,True,0.95,0.4,0.8,0.7,0.0,0.0,0.0
VISHING_2795,1,True,Moderate,True,0.45,0.95,gemini-3.5-flash-lite,0,False,2.803,,True,0.0,0.0,0.3,0.0,0.9,0.0,0.0
VISHING_2562,1,True,Moderate,True,0.5625,0.98,gemini-3.5-flash-lite,0,False,2.764,,True,0.95,0.7,0.4,0.85,0.0,0.0,0.0
BENIGN_1251,0,False,Low,False,0.0,0.0,gemini-3.5-flash-lite,0,False,2.216,,True,0.0,0.0,0.0,0.0,0.0,0.0,0.0
BENIGN_2118,0,False,Low,False,0.0,0.0,gemini-3.5-flash-lite,0,False,1.987,,True,0.0,0.0,0.0,0.0,0.0,0.0,0.0
BENIGN_660,0,False,Low,False,0.0,0.0,gemini-3.5-flash-lite,0,False,2.002,,True,0.0,0.0,0.0,0.0,0.0,0.0,0.0
BENIGN_1370,0,False,Low,False,0.0,0.0,gemini-3.5-flash-lite,0,False,1.951,,True,0.0,0.0,0.0,0.0,0.0,0.0,0.0
